issue_number,url,Alfin,Yiming,Human Golden,,,,,
3828,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3828_20260525T192413Z,Y,Y,Y,,,,,
1297,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1297_20260624T043153Z,Y,Y,Y,,,,,
1112,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1112_20260623T030619Z,Y,Y,Y,,,,,
71,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_71_20260510T083954Z,Y,N,N,"This one I agree with you. I think it is not agent issue since there is no fix for the modelwrapper, the ground-truth patch only raise valueerror",,,,
1765,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1765_20260729T112754Z,Y,Y,Y,,,,,
1714,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1714_20260818T071421Z,Y,Y,Y,,,,,
1702,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1702_20260818T063539Z,Y,Y,Y,,,,,
1439,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1439_20260802T002117Z,Y,Y,Y,,,,,
70,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_70_20260512T041132Z,N,N,N,,,,,
1280,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1280_20260717T161006Z,Y,Y,Y,,,,,
529,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_529_20260813T191356Z,Y,Y,Y,,,,,
2910,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2910_20260826T221655Z,Y,N,Y,Does this not include as dependency issue in the agent components?,,,,
1222,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1222_20260617T122512Z,Y,Y,Y,,,,,
3391,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3391_20260523T120852Z,Y,Y,Y,,,,,
2179,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2179_20260811T161844Z,Y,Y,Y,,,,,
1131,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1131_20260814T215507Z,Y,Y,Y,,,,,
1115,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1115_20260707T180736Z,Y,Y,Y,,,,,
1260,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1260_20260816T160950Z,Y,Y,Y,,,,,
169,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_169_20260511T181727Z,Y,Y,Y,,,,,
1704,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1704_20260730T020559Z,Y,Y,Y,,,,,
2587,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2587_20260719T094237Z,Y,Y,Y,,,,,
3425,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3425_20260824T015929Z,Y,Y,Y,,,,,
974,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_974_20260511T001744Z,Y,Y,Y,,,,,
3112,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3112_20260804T212932Z,Y,Y,Y,,,,,
1686,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1686_20260818T052926Z,Y,Y,Y,,,,,
3938,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3938_20260807T144335Z,Y,Y,Y,,,,,
83,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_83_20260618T195818Z,Y,Y,Y,,,,,
2177,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2177_20260810T100457Z,Y,Y,Y,,,,,
1702,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1702_20260729T084553Z,Y,Y,Y,,,,,
2235,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_2235_20260820T162557Z,Y,Y,Y,,,,,
3388,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_3388_20260822T080336Z,Y,Y,Y,,,,,
1792,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1792_20260730T040633Z,Y,Y,Y,,,,,
1020,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1020_20260814T120504Z,Y,Y,Y,,,,,
1545,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1545_20260817T110601Z,Y,Y,Y,,,,,
667,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_667_20260814T105805Z,Y,Y,Y,,,,,
194,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_194_20260623T191609Z,Y,Y,Y,,,,,
4109,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_4109_20260618T125117Z,Y,Y,Y,,,,,
1538,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_1538_20260817T110225Z,Y,Y,Y,,,,,
590,https://github.com/1123qqa/ICLR2027/tree/main/results/all_combined_f2p/issue_590_20260814T081942Z,N,Y,N,"Cloud SDK config issue, not agent component issue",,,,
