issue_number,url,Human_Golden,llm1,llm2,llm3,llm4,llm5,majority,label
3828,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3828_20260525T192413Z,Y,N,N,N,N,N,N,FN
1297,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1297_20260624T043153Z,Y,Y,Y,Y,Y,Y,Y,TP
1112,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1112_20260623T030619Z,Y,N,N,N,N,N,N,FN
71,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_71_20260510T083954Z,N,Y,Y,Y,Y,Y,Y,FP
1765,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1765_20260729T112754Z,Y,Y,Y,Y,Y,Y,Y,TP
1714,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1714_20260818T071421Z,Y,Y,Y,Y,Y,Y,Y,TP
1702,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1702_20260818T063539Z,Y,Y,Y,Y,Y,Y,Y,TP
1439,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1439_20260802T002117Z,Y,N,N,N,N,N,N,FN
70,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_70_20260512T041132Z,N,Y,Y,Y,Y,Y,Y,FP
1280,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1280_20260717T161006Z,Y,N,N,N,N,N,N,FN
529,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_529_20260813T191356Z,Y,N,N,N,N,N,N,FN
2910,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2910_20260826T221655Z,Y,Y,N,N,N,N,N,FN
1222,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1222_20260617T122512Z,Y,Y,Y,Y,Y,Y,Y,TP
3391,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_3391_20260523T120852Z,Y,N,N,N,N,N,N,FN
2179,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_2179_20260811T161844Z,Y,N,N,N,N,N,N,FN
1131,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1131_20260814T215507Z,Y,Y,Y,Y,Y,Y,Y,TP
1115,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1115_20260707T180736Z,Y,N,N,N,N,N,N,FN
1260,https://github.com/EaminC/AgentBug-Smith/tree/main/results/all_combined_f2p/issue_1260_20260816T160950Z,Y,N,N,N,N,N,N,FN
