issue,source,PlausiblyResolved,CorrectlyResolved,FileLevelLocalization.hit,FileLevelLocalization.precision,FileLevelLocalization.recall,FunctionLevelLocalization.hit,FunctionLevelLocalization.precision,FunctionLevelLocalization.recall,AvgCost,patch_chars
issue-1020,ours_skill,True,False,1,1.0,0.5,0,0.0,0.0,"~3.7min,1att",
issue-1067,baseline_mini_swe,True,True,1,1.0,0.3333,1,0.3333,0.375,0.025124,
issue-1131,ours_skill,True,False,1,1.0,0.5,0,0.0,0.0,"~5.4min,1att",
issue-1158,baseline_mini_swe,True,True,1,0.5,0.5,1,0.1429,0.5,0.021914,
issue-1160,baseline_mini_swe,True,True,1,1.0,0.25,1,0.5,0.04,0.040648,
issue-1164,ours_skill,True,True,1,1.0,0.25,1,0.5,0.2,"~4.1min,1att",
issue-1176,baseline_mini_swe,True,True,1,1.0,0.25,1,0.2857,0.4444,0.065660,
issue-1190,baseline_mini_swe,True,True,1,1.0,0.25,1,0.25,0.25,0.015665,
issue-1197,baseline_mini_swe,True,False,1,0.3333,0.25,0,0.0,0.0,0.016958,
issue-1208,baseline_mini_swe,True,False,0,0.0,0.0,0,0.0,0.0,0.014238,
issue-1210,ours_skill,True,True,1,1.0,0.3333,1,1.0,0.3333,"~5.7min,2att",
issue-1221,baseline_mini_swe,True,True,1,1.0,0.25,1,1.0,0.2857,0.044251,
issue-1260,baseline_mini_swe,True,True,1,0.5,0.1,1,0.2759,0.5333,0.079035,
issue-1272,ours_skill,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"~4.0min,2att",
issue-1294,baseline_mini_swe,True,False,1,0.2,0.5,0,0.0,0.0,0.017960,
issue-1432,baseline_mini_swe,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.023906,
issue-1461,baseline_mini_swe,True,False,0,0.0,0.0,0,0.0,0.0,0.016567,
issue-1525,baseline_mini_swe,True,True,1,1.0,0.3333,1,0.0588,0.25,0.020178,
issue-1528,baseline_mini_swe,True,False,1,1.0,0.5,0,0.0,0.0,0.022806,
issue-1538,baseline_mini_swe,True,True,1,1.0,0.2,1,1.0,0.1429,0.070156,
issue-1686,baseline_mini_swe,True,True,1,1.0,0.4,1,0.1111,0.3333,0.024196,
issue-1687,baseline_mini_swe,True,True,1,1.0,1.0,1,0.5,1.0,0.035432,
issue-1688,baseline_mini_swe,True,True,1,1.0,0.375,1,0.3019,0.5333,0.062081,
issue-1705,baseline_mini_swe,True,True,1,1.0,0.3333,1,1.0,0.25,0.023456,
issue-1732,baseline_mini_swe,True,False,0,0.0,0.0,0,0.0,0.0,0.016796,
issue-1798,baseline_mini_swe,True,True,1,1.0,0.6667,1,0.5,0.5882,0.060678,
issue-1810,baseline_mini_swe,True,True,1,1.0,0.25,1,0.5,0.0769,0.028846,
issue-1820,baseline_mini_swe,True,True,1,1.0,0.5,1,0.1,0.2,0.087949,
